,a2,Cost of living,Housing cost,Housing,Homelessness,Crime,Drugs and addiction,Jobs and employment,Parks and green spaces,Transit,Walkability,Safety,Downtown,Social services and supports,Traffic,Programs for children,Programs for seniors,Programs for persons with disabilities,People and sense of community,Condition of roads and sidewalks,Recreational facilities and programs,Events and attractions,Health care,Schools and education,Child care,City governance,Local businesses,Entertainment/amenities,Weather,Taxes,Other
448,"With the rising costs of living and the increase of ""Un-housed"" people I feel that the separation of demographics will become a concerning problem for the city overall.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Have good friends and a good pension.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
450,Generally good air Reasonable cost of living,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,"Life in Edmonton was Good when I moved here in 1997 and during the 2000's it was Very Good. Unfortunately during the past decade, and particularly during the past 5 years I would say that our standard of living has been steadily declining. Local Infrastructure projects clearly show how our City is declining and falling behind on many fronts, for example having less than 3 lanes in any part of Anthony Henday particularly on its bridges was simply Abysmal planning which is now costing us a fortune to fix. Bridge building projects such as the 102 Ave bridge was yet another Fiasco that has sadly become typical in our City. Our LRT system also clearly displays how we are ineffective and obsolete compared to just about any other City. Rail Gate and Bells ""Crossings"" are reminiscent of the 1800's when the Stage-Coaches has to stop to let trains pass by, having any type of interference between rail and road traffic flow does not belong in this century! Over 100 years ago Paris or London had way superior subway systems before Alberta was even a Province ,all underground and with ZERO crossings. Naming the few LRT lines (i.e. Metro Line, Valley Line) is yet another example of POOR design and lack of logic. Stations are the only thing that should be named in a modern subway system. Naming anything else is childish and adds zero value. One need only to look at a map of the current Paris (France) metro system to see how the hundreds of stations are named however none of the lines are. Lines are simply given a number, or a colour. Naming the lines, adds nothing; exempt perhaps adds needless confusion. Wasting taxpayers money on useless projects is another reason why Edmonton is declining. Obsession with extremely expensive and non-needed bicycle lanes that remain covered in deep snow during half of the year serve only to add traffic congestion to our city. Building long sidewalks along roads within Industrial zones is another sigh of wasted expensive concrete, and wasted taxe",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
452,It has been a great city all my life.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,"I am mobility impaired, and need an electric scooter, to shop. Many business have handicap parking quite far from store entrance.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
454,is good but at times do not feel safe outside,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
455,"Good services, stores, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
456,I enjoy living here but the city is wasting money on the wrong things.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
457,"My city is vibrant in culture and amenities. Life is still ""affordable"", even on a lower income. The inhabitants are not afraid of change or of making change happen if they see something is not working.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
458,Very expensive place to live as a widowed pensioner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Financial issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
460,Have live in Edmonton since I was 16.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
461,could always be better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
462,Waterfront parts could be improved. Too many pot holes. 40 km speed limit in subdiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
463,Some concern for lack of housing for homeless which increases crime.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,"Edmonton still has affordable houses for young people and it has a variety of activites to do...lots of festivals. Roads are still in fair condition when driving, with still a few pot holes around.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
465,"I love Edmonton except for the crime rate, health care system periodically, and the cost of inflation!",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
466,"If you work hard you will live in a decent life, Lot's of work load but less pay.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
467,"Edmonton has the river valley (for hiking or cycling) lots of libraries, parks and services. Work in progress is increasing the safety of it's citizens. all good",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
468,"I would have put excellent if not for the crime that has risen in my neighbourhood in the past year. As a woman, I feel afraid to walk alone at night.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,I work. Live in a good area. And happy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,"I get everything done that I need to, can access everything that I need to, so far haven't had any thing bad happen, so life is good",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,I am satisfied with life in this city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,cost of living here,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
473,"Been lived in Edmonton for more than 40 years, see the improvement by the COE.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
474,"good opportunities for education, career",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
475,no issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
476,The city council is not qualified for the job. The city planners are also unqualified. Ask people what they want. It isn't bike lanes and rec centre's filled with men gambling.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
477,I feel that it's becoming increasingly less safe in all areas of Edmonton. The increase in crime and homelessness is not just isolated to downtown.,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,"I have lived here all my life, and although I've spent lots of time traveling to many warmer destinations, I'm always glad to come home. It's a beautiful city with lots to offer in any month of the year. I feel safe here.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
479,"VERY expensive to live here, may have to move to a small town as the property taxes are draining our pension money, current city council is brain dead, and is not giving priority to safety of citizens. Police NOT bike lanes! Lower the taxes so we can live here and afford to eat!",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
480,"I like where I live (millwoods) but I want the new LRT to be operational because I don't drive. Also, we need rent controls and to stop landlords from refusing pets or charging more for pets. We need to stop spraying chemicals on lawns and public places.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
481,Own a nice home but Edmonton has gone downhill. Properties are not maintained and the city owned property is a mess. Homeless are allowed to set up camps everywhere. High taxes and no service!!!,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
482,Safe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,The crime rate in my neighbourhood has gotten worse and we have an incompetent mayor.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,because it could be worse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
485,Tough when you are older and have difficulty getting around,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Love the area we live in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
487,The city wastes too much money on things like bike lanes which only help a very small fraction of the population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,"Generally here every thing is good..weather,life in general..food,water etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
489,I have lived here all my life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,My rating of fair is mostly given because the cost of living here is very expensive. I was born and raised in Edmonton and have never before seen this disparity. The infrastructure is falling to pieces and many of the social programs no longer are funded which helped with the disparity.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Our housing is secure. We are close to most things we want to attend/shop/browse at.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
492,Living within my means,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,"Access to amenities (such as health and other) and overall Edmonton facilities (entertainment, shopping,etc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
494,"Life is good here - jobs, work and food to eat.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,I am fortunate to live in a city with clean air and lots of green space. Also our city is safe due to our amazing police force.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,"I love the city and all it has to offer, we are comfortable financially, and my family is here",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
497,It's got everything I need to live comfortably,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,The weather is at times challenging but overall everything is great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
499,"Infrastructure like roads, hospitals, parks are not as good as i think they should be",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Everything we need is here.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,I am healthy. Things are more expensive but we are able to live much like we have been.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502,"Nice neighbourhood, safe community and shopping choices close by.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
503,I love this city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
504,It has a lot to offer. It has lovely walking trails. The best hospital care. Great transit! Lovely parks! And it has the Edmonton oilers!!,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
505,City keeps the area clean and covers necessary responses to residents who are in need,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,Access to river valley trails. District leisure centers. Excellent performing arts. Good post-secondary opportunities.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
507,"I have basically everything that I need. I consider that I have a good quality of life. I am low-income, so I can't afford extras. I live in Co-Op housing because there is little choice. The cost of living is too high, so luxuries like travel, etc. are not feasible.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,everything is good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
509,as I've aged my health is not good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,mostly comfortable in tough economic times,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,I enjoy summer and fall in Edmonton but the winter is too long and cold. I also dislike the pot holes and the constant road work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
512,Luckily I have received great friendship and help from others during my over 50 years living here. Opportunities and availabilities of many things have been useful.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
513,"Diversity,cleanliness,friendliness,ease of travel, variety of activities",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
514,"Extremely poor transit service in some areas of the city; very unsafe to travel downtown; no consideration given to seniors; high property tax; city expenditures out of sight on projects no wanted by many - i.e. bike lanes, renovations to Hawrelak Park which were not warranted, etc. etc.",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
515,"Edmonton is a nice city to live in with good infrastructure, various shopping opportunities, and great RiverValley trails. The city is relatively clean except for a few areas of the city.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
516,Empty nesters we own our home. Work part time and enjoy our river valley,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,It is good enough to live and I like the new provisions for transportation etc. however too many road constructions everywhere throughout summer. Takes too long to finish a project. Good programs for all categories of people and generally inclusive. Seems to be getting more unsafe though,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
518,There isn't a lot of things for me to do during leisure times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
519,Life is good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,"not enough policing, inept city council, poor use of taxpayers dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
521,Unclear regarding my future.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
522,"adequate transportation, food availability shelter available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
523,I am fortunate to own my own home and have much opportunity to enjoy the greenspaces of the city.,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,"nice smaller city, green areas,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
525,Not enough accessible options. Unsafe for a single woman,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
526,Living in the city is great. I just wish there were less potholes but I think they are a fact of life in a northern city such as ours.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
527,Have lived in Edmonton all my life and have never considered moving.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,I would rate it better if not for the cost of living causing issues,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,I have a full time job,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,I feel the city could have done better for the LRT and make it underground or on top of overpassess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,not bad not great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
532,"Not a lot of things to do, financially difficult",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
533,"It is good, not great.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
534,"Fifteen minutes to any services, be it personal, household, or recreational.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
535,There are quite a few dangerous people even in our area of the city but overall they're easy to avoid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,The city is a good place. There is room for improvement in many areas but life here is good.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,"High crime, shitty transit, high rent, high food prices, poor city management",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,"The bus system could be improved, and more could be done to actually help the homeless populations rather than overpolicing them and attempting to run them out of their camps. The lrt should also be expanded more. Also more sensible bike lanes, and better upkeep on sidewalks. But there is good food, people, and education here.",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
539,A lot of events that I like to attend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
540,I like that I have good access to public transit. I know that Edmonton has programs to help vulnerable people.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,"Inflation, medical care",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
542,It's nice here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,"It's cold, there are mosquitoes and it doesn't have a central feature in the city that draws people out and gives it a good energy like there is in Vancouver (the ocean boardwalk, Gastown), Kelowna (the lake and its downtown), Montreal (Old Montreal) etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
544,"Theres always something to do, just gotta stay positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
545,"It us ran poorly, the busses suck, and the prices here are ridiculous",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,I'm grateful for everything I have despite not being wealthy. I'm fortunate to have been born here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,THIS IS A NEW CITY AND FOR A PERSON WHO HAS SPENT HIS LIFE IN METRO CITIES WILL DEFINITELY GOING TO MISS THE ENVIRONMENT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
548,Air quality is smoky. People are homophobic.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
549,"Lots of homeless and drugs, not many jobs as well as cost of living",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Could be better crime us going g up,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,I love edmonton it has so many activites that I could and I really appreciate this.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
552,have lots of activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
553,I have enough money for all the things I need and I am not concerned with my day to day life. Also I get to do the things that I want to do.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
554,"Everything is becoming more expensive in Edmonton, businesses are shadier, people are hungry.",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,I'm very satisfied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
556,Because Edmonton has been a great city so far with good resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,"Generally speaking, both the environment and the economy are slowly developing in a positive direction.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
558,The air quality is excellent and the attractions are plentiful.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
559,Cause I think it is Very Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
560,Edmonton used to be cheaper City now is the so expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,Mostly because we are not greatly impacted by inflation issues and rising interest rates. City economy is mostly stable.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
562,No money,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
563,"I lost my job during the pandemic, and still looking for my next job. I also have some heart condition that needed to be really careful about as well after Covid era. I also sold my car, and cut pretty much everything unnecessary.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
564,I've found it pretty easy to live and pay my bills even though I'm low income.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,"Good city, no traffic, good job, parking available, affordable but lately there is a homeless and safety problems in some parts of the city",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
566,just lost my job looking for work,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,The violence and crime in the city has been concerning. The state of hospitals and medical services also could be improved with long wait times and general lack of service. Other things seem to be fine.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
568,I have a great job and all my family lives here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
569,Im Native. We get by only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,"Still better than another cities in Canada , like the prices and it's like a quite city",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
571,happy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,There are many benefits to a high quality of life.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,Have a good service attitude.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
574,Because it has many services and offers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Well the city needs to be more maintained by city staff and the issues of homelessness needs to be addressed.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
576,My income is left over every month.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,Very peaceful and relax life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Attractions & Food options,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
579,HOMES ARE EXPENSIVE AND PROPERTY TAXES ARE GOING UP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
580,Difficult living with a disability that doesn't allow me to work. Income is quite limited and most activities or opportunities throughout the city require access to a vehicle which I currently don't have and don't have the income to obtain.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
581,It is okay. There are alot of issues with this city and taxes are high.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
582,I can afford basic life needs but nothing more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
583,"taxes are to high and to many. the cost of living is to high ex. bills, food, gas. the government has to much power over the people and does very little to actually help us.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
584,"We have a nice home that we enjoy, however traffic on the highways is constantly backed up due to construction or accidents or congestion from so few major roadways",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,The city is really getting had sure to the crime and drug use that is rampant in this city.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
586,I am satisfied with my life.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,It's provided well enough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
588,"I believe in them very much, and we are now on the way to being excellent.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
589,I think it's a great place to live with lots going on and it's affordable compared to other parts of canada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
590,High taxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
591,Roads in Edmonton are pretty bad with potholes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
592,Life in the City is not as good as it used to be.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
593,There is a lot of services and events going on.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
